Embayment,Lm,Lb,Lat,Long,C,Tectonic Coast Classification,Geomorphotype,Cluster Weight (ω)
Agiou Orous Bay,21459,19222,40.210,23.981,1.12,collision,Rocky Bay,0.97
Akaroa Harbour,1832,5377,-43.787,172.930,0.34,collision,LSE,0.98
Albay Gulf,9314,19277,13.172,123.816,0.48,collision,LSE,0.71
All Saints Bay,14080,15919,31.785,-116.676,0.88,collision,Sandy Bay,0.72
Amur Bay,15730,20190,43.091,131.736,0.78,marginal,Rocky Bay,0.96
Ao Ban Don ,25700,30600,9.293,99.268,0.84,marginal,Sandy Bay,0.61
Ao Chumphon ,8901,10730,10.329,99.188,0.83,marginal,Sandy Bay,0.68
Ao Pak Phanang ,7150,11210,8.464,100.122,0.64,marginal,Barrier Estuary,0.67
Aotea Harbour,704,6804,-37.980,174.848,0.10,collision,Barrier Estuary,0.93
Arcachon Bay,2930,16050,44.703,-1.138,0.18,trailing,Barrier Estuary,0.96
Arnhem Bay,14181,45471,-12.279,136.155,0.31,marginal,Barrier Estuary,0.85
Asan-man Bay,16000,13800,37.083,126.645,1.16,marginal,Rocky Bay,0.96
Awarua Bay,666,5575,-46.569,168.338,0.12,collision,Barrier Estuary,0.93
Bahia de Muertos,1281,10471,8.269,-82.259,0.12,collision,LSE,0.99
Banderas Bay,29266,27785,20.615,-105.415,1.05,trailing,Rocky Bay,0.98
Batemans Bay,6166,6325,-35.739,150.236,0.97,collision,Rocky Bay,0.98
Bay of Amatique,23507,45100,15.970,-88.706,0.52,collision,Barrier Estuary,0.80
Bay of Brest,1810,10260,48.341,-4.496,0.18,trailing,LSE,1.00
Bay of Ilha Grande,22762,23850,-23.158,-44.566,0.95,trailing,Rocky Bay,0.99
Bay of Kotor,1390,7550,42.426,18.665,0.18,collision,LSE,1.00
Bay of Malaga,2788,8050,4.026,-77.278,0.35,collision,Barrier Estuary,0.91
Bay of Marajó,59760,29500,-0.666,-48.320,2.03,trailing,Funnelled,0.95
Bay of Paranaguá,4991,24699,-25.462,-48.410,0.20,trailing,Barrier Estuary,0.95
Beibu Gulf,44030,37690,21.371,109.624,1.17,marginal,Sandy Bay,0.87
Beppu Bay,11227,14385,33.313,131.597,0.78,collision,Rocky Bay,0.95
Bima Bay,962,5355,-8.428,118.697,0.18,collision,LSE,1.00
Blavet Estuary,730,2200,47.719,-3.358,0.33,trailing,LSE,0.98
Blue Mud Bay,45938,89765,-13.420,136.094,0.51,marginal,Barrier Estuary,0.76
Botany Bay,1115,7948,-33.991,151.203,0.14,collision,Barrier Estuary,0.93
Broad Sound,28104,10771,-22.364,149.861,2.61,marginal,Funnelled,1.00
Broken Bay,3760,14516,-33.567,151.321,0.26,collision,LSE,0.98
Brunei Bay,40282,61720,5.100,115.227,0.65,collision,Barrier Estuary,0.54
Bruni Bay,42969,42745,5.002,115.384,1.01,collision,Sandy Bay,0.83
Butan Bay,34210,33123,9.085,125.393,1.03,collision,Rocky Bay,0.98
Cam Ranh Bay,1590,19480,11.868,109.148,0.08,marginal,Barrier Estuary,0.94
Cambridge Gulf,18212,21209,-14.868,128.244,0.86,marginal,Sandy Bay,0.67
Cariaco Gulf,5634,14027,10.514,-64.013,0.40,collision,LSE,0.67
Chabahar Bay,13750,21160,25.363,60.506,0.65,collision,Barrier Estuary,0.59
Chhak Kampong Som,23760,48580,10.889,103.538,0.49,marginal,Barrier Estuary,0.67
Chinhae-man,5800,35360,35.013,128.558,0.16,marginal,LSE,1.00
Chiriqui Lagoon,17635,58136,9.057,-82.073,0.30,collision,LSE,0.97
Cleveland Bay,24983,21382,-19.226,146.883,1.17,marginal,Sandy Bay,0.88
Cobscook Bay,3330,14559,44.898,-67.089,0.23,trailing,LSE,1.00
Collingwood Bay,61831,63228,-9.403,149.325,0.98,collision,Sandy Bay,0.83
Columbia River Estuary,5263,12263,46.216,-123.844,0.43,collision,Barrier Estuary,0.71
Conception Bay,3860,9676,26.685,-111.820,0.40,trailing,LSE,0.93
Conducia Bay,5560,4020,-14.906,40.719,1.38,trailing,Sandy Bay,0.82
