BASINID,FIN_TYP
773,4
6292,4
5909,4
6291,4
2135,4
6290,4
5908,4
6289,4
4771,4
2267,4
4770,4
6288,4
2484,4
6287,4
5907,4
6286,4
2364,4
6285,4
4455,4
6284,4
4454,4
6283,4
4453,4
6282,4
4452,4
6281,4
4451,4
6280,4
4450,4
6279,4
4732,4
3827,4
4393,4
5780,4
5128,4
5779,4
5127,4
5778,4
1139,4
5777,4
5126,4
5776,4
5123,4
5766,4
5121,4
5775,4
5774,4
5773,4
5772,4
5771,4
5770,4
5769,4
5768,4
5767,4
3394,4
5765,4
5764,4
5763,4
5762,4
5761,4
5122,4
6278,4
700,4
6277,4
5125,4
6276,4
682,4
6275,4
5124,4
2759,4
6274,4
2760,4
6273,4
2413,4
6272,4
2412,4
4771,4
-9999,4
-9999,4
4770,4
2364,4
-9999,4
6271,4
5167,4
6270,4
5166,4
71,4
4700,4
6269,4
5709,4
6262,4
5708,4
6261,4
5718,4
5029,4
5706,4
6260,4
5063,4
6268,4
5707,4
