feature,importance
abs_latitude,0.23385055041940755
log_dist_to_coast,0.15780805102414022
dynqual_temperature_C,0.1500013829928364
dist_to_coast_km,0.1454863605395734
dist_x_strahler,0.054257874820225475
azimuth,0.04355390715071337
sinuosity,0.03806575813989178
log_upstream_area,0.03585960677530491
upstream_area,0.033398687786661614
area_per_length,0.03270691692976035
length,0.027131771385552027
length_km,0.024914893641165062
strahler_order,0.022772466484264335
is_mainstem,0.00019177191050353387
in_durr_estuary,0.0
durr_type_encoded,0.0
